C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_290.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_290.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_290.jpg,0,0,0,3.22456E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_357.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_357.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_357.jpg,0,0,0,1.33603E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_424.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_424.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_424.jpg,0,0,0,5.261807E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_494.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_494.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_494.jpg,0,0,0,2.208152E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_563.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_563.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_563.jpg,0,0,0,3.170584E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_633.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_633.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_633.jpg,0,0,0,7.157034E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_703.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_703.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_703.jpg,0,0,0,4.478236E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_776.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_776.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_776.jpg,0,0,0,1.184288E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_845.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_845.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_845.jpg,0,0,0,2.163647E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_915.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_915.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_915.jpg,0,0,0,6.217642E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_02_983.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_02_983.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_02_983.jpg,0,0,0,4.497033E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_03_050.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_03_050.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_03_050.jpg,0,0,0,3.074887E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_03_120.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_03_120.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_03_120.jpg,0,0,0,5.084813E-06
C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\center_2017_09_11_07_02_03_188.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\left_2017_09_11_07_02_03_188.jpg,C:\Users\me\src\CarND-Behavioral-Cloning-P3\IMG\right_2017_09_11_07_02_03_188.jpg,0,0,0,6.045358E-07
